Address,Name Tag,Balance,Percentage,Txn Count
"0xd7f9f54194c633f36ccd5f3da84ad4a1c38cb2cb","","107,812.82769714 ETH","0.08955637%","2,785"
"0x8ae880b5d35305da48b63ce3e52b22d17859f293","","107,708.24446505 ETH","0.08946950%","10"
"0xa463597d49f54fe6a811fb894cbd67c7f92852b0","","107,686.26657306 ETH","0.08945124%","72"
"0x5a710a3cdf2af218740384c52a10852d8870626a","Bitfinex 15","107,141.16775261 ETH","0.08899845%","29"
"0x7f1502605a2f2cc01f9f4e7dd55e549954a8cd0c","","105,874.39403983 ETH","0.08794618%","209"
"0xbed96d0840201011df1467379a5d311e0040073a","","103,744.75950628 ETH","0.08617717%","6"
"0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc","","102,002.99468233 ETH","0.08473035%","14"
"0x76ae5632ae65d95dd704218920f7d8ac4daef9cc","","101,388.61949334 ETH","0.08422001%","35"
"0x67f706db3bbd04a250eed049386c5d09c4ee31f0","","100,784.24757181 ETH","0.08371798%","38"
"0xd9858d573a26bca124282afa21ca4f4a06eff98a","","100,179.66778882 ETH","0.08321577%","12"
"0x4fdd5eb2fb260149a3903859043e962ab89d8ed4","Bitfinex 5","100,116.88988392 ETH","0.08316362%","28"
"0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604","","100,000.14577856 ETH","0.08306665%","11"
"0x2d89034424db22c9c555f14692a181b22b17e42c","","100,000.00003383 ETH","0.08306653%","9"
"0x40f50e8352d64af0ddda6ad6c94b5774884687c3","","100,000.00002033 ETH","0.08306653%","5"
