Address,Name Tag,Balance,Percentage,Txn Count
"0x8408b4ff79195dd2c1b903204b3b41becc4bb486","","52,996.39614539 ETH","0.04402227%","1,061"
"0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4","","52,870.22100339 ETH","0.04391746%","1,801"
"0xe5bb1523743d3a3c1eb6682060e3c3b0041db563","","52,449.89596829 ETH","0.04356831%","26"
"0xaacdeeab334a8fd81baae72bc34274d1e57227a7","","52,236.27868138 ETH","0.04339086%","18"
"0x0afbaf9dd49d5d7b32bc196a1d5fdf0a611f60ac","","52,236.27868138 ETH","0.04339086%","25"
"0xdd0817f5c09013ab1a78c7943d4baed6bcf64548","","52,236.27868138 ETH","0.04339086%","9"
"0x2fb6db0fc654925ae4aad32ef06aa2b4a5684dda","","52,236.27868138 ETH","0.04339086%","14"
"0xab90ed01b9f5e903b988856f09a14bb9f5413282","","52,236.27868104 ETH","0.04339086%","3"
"0x991a7ff3cb20d5b5d6d9be5efec4e4c51cddad7a","","52,170.1297478 ETH","0.04333592%","26"
"0x5770815b0c2a09a43c9e5aecb7e2f3886075b605","SwissBorg 1","51,898.25648156 ETH","0.04311008%","93,825"
"0x795cbc7a670d06e56cd2197d4ca175e081a416ad","","51,601.99278797 ETH","0.04286398%","70"
"0x1b8766d041567eed306940c587e21c06ab968663","Bitfinex 14","51,377.30143861 ETH","0.04267734%","25"
"0xceffc7330317f72957c662d072a5e7d63b9b578c","","50,399.93896064 ETH","0.04186548%","10"
"0xef6ddef90502aee5bb6bd9db326c853e44c42be1","","50,294.01169777 ETH","0.04177749%","1"
"0x7ef857eb57071f1d659d43ea466591bf7c32dc3d","","50,294.01169777 ETH","0.04177749%","2"
"0x33cba8530056037780bd7c3cd65d4d6ff1aebbf8","","50,294.01169777 ETH","0.04177749%","2"
"0x1c7bfcad2ee0e50493fa6a22f4f06c0c9ec86e60","","50,294.01169777 ETH","0.04177749%","4"
"0x93610880fb8f4f2a33931b403990d3536f73de5f","","50,294.01169777 ETH","0.04177749%","1"
"0x50cb0508434b4c68a2c4fde30b02b269d2d5b6bd","","50,005.98478689 ETH","0.04153824%","9"
"0x50bd66bfddf48b8914602bf51c93756731ec51ae","","50,001.00561846 ETH","0.04153410%","8"
"0x5a03703125380cfda804446fdaa3b4064cb6cc0a","","50,000.89 ETH","0.04153400%","4"
"0x6220d7a458a68d6a554e5904792049fd2ef6bbcc","","50,000.419059 ETH","0.04153361%","6"
"0x07f1d450b16e53302931c5362ee0ab41f2978541","","50,000.150118 ETH","0.04153339%","5"
"0x98ec059dc3adfbdd63429454aeb0c990fba4a128","OKX 6","50,000.10856897 ETH","0.04153335%","68"
