Address,Name Tag,Balance,Percentage,Txn Count
"0x36b6751586614d647d8a3f495e82bdcf250914c8","","98,770.46156153 ETH","0.08204519%","66"
"0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb","","98,770.46155584 ETH","0.08204519%","75"
"0xe93fc974908003faddf0bd972b05b6494368d3f5","","98,770.46152594 ETH","0.08204519%","68"
"0x303c741bb15c9c4b1c72320f6df702b32da80519","","98,770.46150985 ETH","0.08204519%","77"
"0x28140cb1ac771d4add91ee23788e50249c10263d","Bitfinex 16","97,634.063475 ETH","0.08110123%","1"
"0xc56fefd1028b0534bfadcdb580d3519b5586246e","Bitfinex 11","95,263.26323519 ETH","0.07913189%","1"
"0xf196c023de1f19d6529133759f449c4b01ce0f51","","94,923.81168397 ETH","0.07884991%","58"
"0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6","","93,032.09631113 ETH","0.07727853%","7"
"0x9030dcb01830eaa3d8ba285a824a05d8fb489ad0","","92,228.15247716 ETH","0.07661072%","6"
"0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a","","90,645.23803272 ETH","0.07529585%","60"
"0xa580e49df5d054d69cf1b2ef4af847c6e6f64d30","","90,000.14557205 ETH","0.07476000%","9"
"0x9b07c94f1d39d24b68da8ff7c78adb8b70238a75","","90,000.14537558 ETH","0.07476000%","7"
"0x22a54a1eb8c573bbf845dd1ff64c8df05502c1b0","","90,000.14525149 ETH","0.07476000%","6"
"0xda29accfb77995bef70bcf6478a73e9acb07732d","","90,000.14523237 ETH","0.07476000%","7"
"0xf29c6705f188526e0029a92ee6bc21ebc750b675","","90,000.14519401 ETH","0.07476000%","7"
"0x03d615c04be905790dbef2df0472a2e901ccd810","","90,000.14504835 ETH","0.07476000%","7"
"0x5d71f4d4f6048112a3b21433fbcfba5f1f39549f","","90,000.13561258 ETH","0.07475999%","8"
"0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461","","89,854.99807357 ETH","0.07463943%","58"
"0x3727cfcbd85390bb11b3ff421878123adb866be8","Bitbank 2","88,551.91704626 ETH","0.07355700%","14,469"
"0xbddf00563c9abd25b576017f08c46982012f12be","","87,922.53811707 ETH","0.07303420%","779"
"0x0ef3794802b55bc4464114c3df550430b53a3506","","87,225.63369203 ETH","0.07245531%","49"
"0x1bb762b16438f8b287626fd1042bc6f6848cc286","","86,481.01573968 ETH","0.07183678%","5"
"0xad0d53cf033ab63dc72d653640766ee1d366cef6","","85,968.12149808 ETH","0.07141073%","79"
"0xac08f21ef597a51865d69896f09b52472acde80d","","85,968.12129066 ETH","0.07141073%","68"
"0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f","","84,999.9954392 ETH","0.07060655%","9"
"0x3f4ac8d3e1414b5351e632391908177c012c65cc","","84,642.40751359 ETH","0.07030951%","74"
"0xbf4ed7b27f1d666546e30d74d50d173d20bca754","WithdrawDAO","83,216.38578086 ETH","0.06912496%","19,693"
"0xb3764761e297d6f121e79c32a65829cd1ddb4d32","Multisig Exploit Hacker","83,017.21222801 ETH","0.06895952%","76"
"0xd6216fc19db775df9774a6e33526131da7d19a2c","KuCoin 6","82,049.77170095 ETH","0.06815590%","10,947"
"0xb46427e2cddecb0bde40bf402361effddd4401e2","","81,444.25827907 ETH","0.06765292%","8"
"0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9","","80,673.98765072 ETH","0.06701308%","66"
"0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143","","80,000.00038144 ETH","0.06645322%","10"
"0x918fa381cb534677bad24afb29cb3c2acaf16385","","79,340.3816176 ETH","0.06590530%","4"
"0xd2b0b1daed605718080f861034d3241f1cfd89cb","","79,122.43024148 ETH","0.06572426%","4"
"0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419","Starknet: StarkGate ETH Bridge","78,605.05576158 ETH","0.06529449%","1,807,928"
"0xfdfeb7474b6b104f32599948bb7f8ed81b06def3","","77,735.85185611 ETH","0.06457247%","5"
"0x831c3720681096f276cb016b51a33433d7cb2faa","","74,658.55989616 ETH","0.06201627%","67"
"0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc","","74,658.55986664 ETH","0.06201627%","78"
"0x7ced76dde9203a554df01cbb1ed0d17e9bce7524","","74,658.55985016 ETH","0.06201627%","65"
"0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc","","74,658.55984144 ETH","0.06201627%","76"
"0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a","","74,658.55984064 ETH","0.06201627%","71"
"0xb3177d9873b7ac246874114d8760e66dc5e797cc","","74,658.55983264 ETH","0.06201627%","71"
"0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96","","74,658.55983264 ETH","0.06201627%","76"
"0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7","","74,658.55983264 ETH","0.06201627%","73"
"0x9aabd298b30d034f8c64f86aa25fc74b9f70930f","","72,013.49455401 ETH","0.05981911%","74"
"0xe27f62b70ab44d7fd1842dce66138a31940fa29a","","71,365.78137487 ETH","0.05928108%","75"
"0x755cdba6ae4f479f7164792b318b2a06c759833b","ExtraBalDaoWithdraw","70,991.53403902 ETH","0.05897020%","8,278"
"0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5","Compound: cETH Token","68,303.0666405 ETH","0.05673699%","320,328"
"0xd65d71e5ecccfcf72b84cad65370626e048d1b33","","67,666.36564957 ETH","0.05620810%","72"
"0x1f72b240b6fffceba07bdaa097cc7b216a643a0f","","67,666.36564957 ETH","0.05620810%","77"
"0x4e5fab20b7b83c6f557b20c820883eab0a0b343b","","67,666.36564957 ETH","0.05620810%","84"
"0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0","","67,666.36564957 ETH","0.05620810%","81"
"0x54cee0ef273d3d08ed120b0c561c0284a4c4490e","","67,560.20060894 ETH","0.05611991%","77"
"0xecef66258cc21cb742ac34c68375b311fd3f34cc","","67,491.71031803 ETH","0.05606302%","142"
"0x92cf9066c657b1f63a7a2dc37255b31be6ef1858","","67,395.88606182 ETH","0.05598342%","236"
"0xc4d5b7c576edfbac20fa081cff79ec745193e207","","67,372.26115846 ETH","0.05596380%","224"
"0xd548dd6ccc7a563346372fa0d8cef06e1683b0e3","","67,372.2611448 ETH","0.05596380%","233"
"0xcaaad25746a0e04a3c7eff86422991b00fd3d76a","","67,372.25225665 ETH","0.05596379%","75"
"0x1e143b2588705dfea63a17f2032ca123df995ce0","QuadrigaCX 5","67,317.25769198 ETH","0.05591811%","20,829"
"0x4920f22b632bfaa40af8d39c31d9607809485952","","67,312.71205456 ETH","0.05591433%","6"
"0xad7f791974169973443c496eaa102f1a7842003d","","66,919.48428656 ETH","0.05558769%","6"
"0x7b4576d06d0ce1f83f9a9b76bf8077bffd34fcb1","Bitcoin Suisse 1","66,349.65800387 ETH","0.05511436%","23,165"
"0x47029dc4f3922706bf670d335c45550cff4f6a35","","65,857.53015957 ETH","0.05470556%","29"
"0x3bc643a841915a267ee067b580bd802a66001c1d","BTC Markets 1","65,814.53655402 ETH","0.05466985%","346"
"0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3","","65,450.43620617 ETH","0.05436741%","14,306"
"0xc54cb22944f2be476e02decfcd7e3e7d3e15a8fb","","65,127.8733044 ETH","0.05409946%","5,740"
"0x282edab8a933bc1c02649fe3ea2842ecbe9928a7","","65,006.10053649 ETH","0.05399831%","59"
"0xec6a76e74b9a5ad49eda0aa63b91c2c53cb65a9c","","63,734.30124516 ETH","0.05294187%","6"
"0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40","Coinone 2","62,329.5302969 ETH","0.05177498%","183"
"0xbf94f0ac752c739f623c463b5210a7fb2cbb420b","OKX 24","61,587.97635701 ETH","0.05115899%","2,178,875"
"0xa7efae728d2936e78bda97dc267687568dd593f3","OKX 3","61,480.98482626 ETH","0.05107012%","4,057,513"
"0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840","OKX 25","61,431.43541642 ETH","0.05102896%","2,178,181"
"0x8c1fe06904a6e642b1e8c66b3ee7fac83cc46873","","60,330.81281664 ETH","0.05011471%","15"
