Address,Name Tag,Balance,Percentage,Txn Count
"0x7b8df0e08bb10c5b039c2687b13369fa0589290a","","22,446.9595994 ETH","0.01864591%","2"
"0xee5b5b923ffce93a870b3104b7ca09c3db80047a","Bybit: Hot Wallet 4","22,341.47880196 ETH","0.01855829%","2,263"
"0xd01ae1a708614948b2b5e0b7ab5be6afa01325c7","QubitFin Exploiter","22,212.58885184 ETH","0.01845123%","137"
"0xedc4402812c1e4d8312a5a2ed7bfee89c49613ba","","22,090.45204061 ETH","0.01834977%","30"
"0x79b91d213e019c62e6d1ef87c2e6e9fd07320373","","22,088.43704875 ETH","0.01834810%","29"
"0x6fe6b1ab512a0bbef752086bded463107dd8ba15","","22,083.554982 ETH","0.01834404%","27"
"0xabf81ecd63f1e4816abb1747aedbcde720459fe0","","22,080.759239 ETH","0.01834172%","23"
"0x378d1814b1d3d84c10a51317d26584b61c70b617","","22,079.9841865 ETH","0.01834108%","22"
"0xe09f3fd42f4b7d6d2d70d412298973658f2b23b5","","22,078.99131153 ETH","0.01834025%","29"
"0xa40f46d4dbd33be5f4cc11772e95f8fa8dc67dab","","21,953.01321883 ETH","0.01823561%","2"
"0xc155e5ca4e17041333ae66728b1fd77bf178be74","","21,860.86052198 ETH","0.01815906%","39"
"0x4cc61daed7824ff8b5081f204e16bea330c2eeab","","21,807.005 ETH","0.01811432%","6"
"0xf584f8728b874a6a5c7a8d4d387c9aae9172d621","Jump Trading","21,778.62107836 ETH","0.01809074%","124,278"
"0x9b0e462214e6bb5345ad3b78c09f7c043eb4fd6f","","21,768.69270371 ETH","0.01808250%","9"
"0x43ab622752d766d694c005acfb78b1fc60f35b69","","21,704.32557927 ETH","0.01802903%","108"
"0xca8a031cdb5bbd4559d526a723093582f80aa3c2","","21,531.60175595 ETH","0.01788555%","6"
"0xdf1fc5523f2e5ea4f6dac2eaed3263953a391b0c","","21,507.56787708 ETH","0.01786559%","263"
"0xa15c9d4af12d42c612d5a7445d76f5cc3ac92a69","Bitwise: ETH Holding Address 1","21,494.0749421 ETH","0.01785438%","100"
"0xab3e9f1133c597f03768510e7e65004a04c9d427","Grayscale: Ethereum Mini Trust 1","21,322.65685661 ETH","0.01771199%","7"
"0xdf3288f9e54809c97edabdeb8f0c3c26ce0f5192","","21,317.41707856 ETH","0.01770764%","5,136"
"0x67fad242e46bcae9c23c0ab59b7c55ae7fdff34e","","21,229.43458686 ETH","0.01763455%","4"
"0xaf25663da625032c2f486a28b6d55b8cd22b74cc","","21,108.37084332 ETH","0.01753399%","4"
"0xeb794a13dcc8710f6578070e884a20c1dde4b28d","","21,000.00000592 ETH","0.01744397%","4"
"0x3ac7396b9dd049cba2db72934f7e35752147e364","","20,995.23121566 ETH","0.01744001%","5"
"0x4085607d49c5e6eb9af262a156a9089cd04d3e5c","","20,972.44722559 ETH","0.01742108%","10"
"0x92982bccb608936be803fad34c03414e888ee1de","","20,970.34866406 ETH","0.01741934%","11"
"0x830b9eba30096ee7d8b10dbe4a5912c5ba69b019","","20,917.95496412 ETH","0.01737582%","3"
"0x5a814d65a25cf2463f8988a2ca685012fcbc30be","","20,858.66781163 ETH","0.01732657%","68"
"0x3bbf4e8fadbff1be660b2fd6cae33314caeaa301","","20,845.47197688 ETH","0.01731561%","67"
"0xb909543fe81a472d5bc9af8f66b896aa3159141e","","20,800.0002 ETH","0.01727784%","8"
"0x1d5a591eebb5bcb20f440d121e4f62e8d1689997","","20,753 ETH","0.01723880%","5"
"0xcd4a584d5938a431083183055ac7a066aa3e1985","","20,644.04924384 ETH","0.01714830%","4"
"0x184f1960bafd44e8ad8d56ae91ce641678a48602","","20,594.92191672 ETH","0.01710749%","3"
"0xf623570b15c37fb018d35f51c2fd3816f6b3eab8","","20,564.82123691 ETH","0.01708248%","48"
"0x6a51d95b6f9e24b4ae71fe4751b12ff87ddb19cd","","20,443.75197103 ETH","0.01698192%","55"
"0xab3c66a06a5940b811ad1d98d8b6ea5456657993","","20,398.093028 ETH","0.01694399%","9"
"0x03211daae0b65cf396945868d022bb77de22efa2","Grayscale: Ethereum Mini Trust 19","20,234.510235 ETH","0.01680811%","5"
"0xf8092d0679cc835b3d51d46163e649f2de5c680d","","20,199.682 ETH","0.01677917%","7"
"0x14bbf6493b7923284e4957fa4de9f3c2b1bab120","","20,182.74315246 ETH","0.01676510%","2"
"0xc3ecba28af450e2ed469164766751130d93ecc36","","20,165.23592998 ETH","0.01675056%","934"
"0x237b5ad89d6513630b71bbf783c1edcc84fb6aab","","20,047.33555854 ETH","0.01665263%","114"
