Address,Name Tag,Balance,Percentage,Txn Count
"0x111cff45948819988857bbf1966a0399e0d1141e","bitFlyer","32,808.63277522 ETH","0.02725299%","17,348"
"0xdc24316b9ae028f1497c275eb9192a3ea0f67022","Lido: Curve Liquidity Farming Pool Contract","32,753.78938769 ETH","0.02720744%","73,396"
"0x6dab3bcbfb336b29d06b9c793aef7eaa57888922","","32,249.85191349 ETH","0.02678883%","988"
"0x38b50146e71916a5448de12a4d742135dcf39833","","32,200.00000842 ETH","0.02674742%","4"
"0x514c8595ad5e696e5c0db6b1667972c595090ec7","","32,001.01010601 ETH","0.02658213%","8"
"0x02d3e24545ec92951e51a953b4d24068e7c6d8a4","","31,837.6891349 ETH","0.02644646%","469"
"0x6c064fb0b9956b111fdcfe4297c03c980dd7730c","","31,645.89680764 ETH","0.02628715%","214"
"0xea3aa67237e3f773d30b01034c63021eff59e158","","31,355.463438 ETH","0.02604589%","2"
"0x6841731d5183fb7ccf89689b2e37cfdb8bf6799e","","31,259.89397086 ETH","0.02596651%","2"
"0x078a9e1b56850dc9be25c20fb0f980c60775cf46","","31,126.21099805 ETH","0.02585546%","2"
"0x308861a430be4cce5502d0a12724771fc6daf216","ether.fi: Liquidity Pool","31,124.73726 ETH","0.02585424%","269,674"
"0xd49a1525b46f9149ff665807c925bd83b5a6d7e3","","31,111.95752033 ETH","0.02584362%","37"
"0xa97beb3a48c45f1528284cb6a95f7de453358ec6","","31,000 ETH","0.02575062%","3"
"0x1eddfb5ef9d8a66d1ec39292a7d1ab42b865e04b","","30,800.60814671 ETH","0.02558500%","25"
"0x70cd5778307be9390a5ed8edffaf7398b333d124","","30,530.39191192 ETH","0.02536054%","20"
"0xb5742a2dde347217efc3a7eb54bf753d1ddcd469","","30,442.09158419 ETH","0.02528719%","85"
"0xb085aa12d33c018254e7f844956b1100628e50b5","","30,434.86013421 ETH","0.02528118%","2"
"0xff64a8933e05c9d585ab72db95d207ebee9be5a8","","30,106.17228532 ETH","0.02500815%","24"
"0x491561db8b6fafb9007e62d050c282e92c4b6bc8","","30,023.00000576 ETH","0.02493906%","11"
"0xb5ab1ec3feac6134ab3cf7f0126d873929f756a2","","30,006.7458331 ETH","0.02492556%","4"
"0x1fe29b608c1cab7b7354fc96c7bbb2a68355ced6","","30,000.84763315 ETH","0.02492066%","11"
"0xa32e317f86ba61e87083e3e39bebba3837697678","","30,000.01560306 ETH","0.02491997%","8"
"0x896dfee1afeb6336e86911bd5a341c1264e5611a","Bitstamp 29","30,000.0000088 ETH","0.02491996%","2"
